Comment_No,Username,Time_Ago,Weeks_Ago,Comment_Text,Reply_To,Is_Creator_Reply,Category,Contains_Question,Has_Emoji,Language,Comment_Length
1,khushbakht_.00,39 w,39,Itny Oil k beghir recipe bata do😭,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,33
2,kaizayn_,39 w,39,Who makes brownies in oil 😭,,No,Recipe/Ingredient Question,No,Yes,English,27
3,zooweemaamaa_,39 w,39,I'm very sorry but that's not a brownie that's a cake….brownies are supposed to be fudgy and you are not at all supposed to beat the eggs as they make everything fluffy and moist which is actually a good thing for a cake but brownies should be fudgy pleaaseee,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,259
4,anaacoree,34 w,34,The amount of oil she put in it gave me an ick 💀🙏🏽,,No,Recipe/Ingredient Question,No,Yes,English,50
5,_.aleezaa,40 w,40,yummiest brownies 😋😋,,No,Positive / Appreciation,No,Yes,English,20
6,sozal_foods,40 w,40,hehe frrr☺️🫶,@_.aleezaa,Yes,Creator Reply,No,Yes,English,12
7,chefwaqar.studio,39 w,39,"Wow Zabardast, but brownies uper Jo hai usko crust nahi crinkle kehty😍😍😍 but great recipe",,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,89
8,beauty_grownics,33 w,33,Girll i always use oil in my brownie and believe me its super yum 😍log to har baat pr keeray nikalty hain 😂😂but dont worryy u doing amazing keep doing it❤️,,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,155
9,mrithula_mohan_,32 w,32,this is not amazing. any experienced baker will pass out seeing her do this😭,@beauty_grownics,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,76
10,beauty_grownics,32 w,32,So let them pass if she is happy whts anyone's problem recipe dose not mean to follow exactly wht everyone do fusion is what makes ur dish unique,,No,Recipe/Ingredient Question,No,No,Mixed/Urdu,145
11,sozal_foods,32 w,32,ohh my God girllll🥹 You won my heart!!! Thank you so much i really reallyyyy appreciate it🫶 I read her comment I was like mai Kia explain karo ab k there are 1000 ways to make brownies and we are not bakers!!! We are simple people who try to make everything at home with our own convenience! And if you don't like the recipe just swipe up!! I just decided to ignore her comment but I am really happy that you supported me❤️,@beauty_grownics,Yes,Creator Reply,No,Yes,Mixed/Urdu,423
12,beauty_grownics,32 w,32,u dont need to explain each and everyone do whatever makes u happy❤️ we need to understand that all people are not born with brain 😂😂😂😂,@sozal_foods,No,Positive / Appreciation,No,Yes,Mixed/Urdu,135
13,sozal_foods,40 w,40,Yr maaf kardo glti hogai bachi sy😭😭,,Yes,Creator Reply,No,Yes,Mixed/Urdu,35
14,rubab_khanani,39 w,39,Whats the container size !?,,No,Recipe/Ingredient Question,Yes,No,English,27
15,sozal_foods,39 w,39,10x12,,Yes,Creator Reply,No,No,English,5
